序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資資安,112598662,怑阂隱,85tn4tjcoh,3,6,6,4,6,9,2,6,7,0
2,資工系,112598197,剜弳齇,huh1v4l4wi,9,6,5,3,9,8,6,0,5,8
3,電資AI,112598545,姽砫懆,ubiszp8ugs,2,6,9,8,0,4,1,9,4,1
4,創新AI,112598560,耣譻茞,8g5r11b645,7,2,7,0,5,5,1,6,9,4
5,資工系,112598868,鿧啣熘,falz9c7h52,2,7,7,8,3,5,9,6,5,2
6,創新AI,112598750,醸囿蘦,5egs68napbl,7,0,1,6,4,2,8,5,2,0
7,資工系,112598208,狙檹乓,2d6ck7h8ggj,6,3,8,4,1,6,3,4,7,1
8,電資AI,112598665,翄隧丮,61fizd3hq6,9,3,6,0,2,1,4,9,7,5
9,電資AI,112598787,應垛磔,3ygfjaqhefj,4,8,1,3,5,5,8,1,8,3
10,電資AI,112598267,輛鼿嶙,axgd82q45x,5,5,9,8,9,3,0,8,7,3
11,電資資安,112598193,畱榹佨,fwd1v78qazl,3,0,8,4,0,3,0,0,7,2
12,電資AI,112598093,蠔蛿姠,tfgub3yy1r,5,6,1,6,6,6,2,2,8,3
13,電資AI,112598042,簚搌鉖,b3hlbgqg,9,5,8,9,5,8,9,1,2,2
14,電資資安,112598252,稹釤颜,pmf58lk3wq,4,7,7,9,1,3,6,7,3,7
15,資工系,112598207,羲歑虳,tk0my72n3,2,9,0,3,3,4,3,8,9,0
16,資工所,112598356,細躑蘃,jmjwknajj3k,4,3,0,4,4,2,9,3,6,6
17,資工系,112598008,俓暨峒,667ovfsshd,0,2,7,6,8,4,7,1,0,4
18,電資AI,112598594,醙寒鳀,ahe55tt1fb,1,4,2,5,0,7,1,2,1,3
19,創新AI,112598377,鯹謦煝,xrsmzkw0om,9,8,6,2,1,8,5,0,2,1
20,資工系,112598504,鋵嘈郳,mc2w0j4xtf,3,0,2,8,1,1,5,0,9,4
21,電資資安,112598473,瑂隉罱,bt98uefe7h,6,4,6,5,2,2,2,1,3,8
22,創新AI,112598809,櫑騹靊,2n2wlqq8et,3,7,7,0,9,8,7,9,7,9
23,電資資安,112598362,髄蘾羁,tiepxjwa35j,0,3,5,5,8,9,3,4,2,8
24,電資資安,112598665,支樛簎,rj0km8oa3r,6,8,5,9,2,5,5,2,5,7
25,創新AI,112598468,骳礥蓊,6a8wwvqml7f,4,2,3,2,8,0,2,5,2,8
26,創新AI,112598785,苊铋萮,7m2whe02w1,1,5,9,8,5,4,6,8,3,7
27,資工所,112598029,釞嵜縀,eewx31aclfk,1,4,1,2,3,9,1,9,5,2
28,電資AI,112598134,垇膐匛,yia3y4cqdv,8,3,9,7,4,8,2,2,3,2
29,資工系,112598074,蛼篆集,m5ow723hraj,9,6,6,1,1,0,6,9,9,6
30,電資資安,112598029,跑鵂瞘,95vun8al5r,2,5,6,4,5,5,5,6,6,0
31,創新AI,112598108,縱橫闕,np58a2anvi,0,6,6,8,8,6,1,3,6,4
